News,Label
"नहीं, यह वीडियो दिल्ली के सरकारी स्कूल को मदरसे में तब्दील होते नहीं दिखातायह है केजरीवाल का दिल्ली स्कूल मॉडल जिनसे सेकुलर हिंदुओं को लगता है कि केजरीवाल अच्छा काम कर रहा है वह देख लीजिए दिल्ली के सरकारी स्कूलों को केजरीवाल ने मदरसे में बदलना शुरू कर दिया है. दिल्ली के विजय नगर का एक सरकारी स्कूल है यह स्कूल में कलमा, उर्दू पढ़ने की इजाजत दी है केजरीवाल ने या उनके बिधायको और सरकार का समर्थन है. अब हिंदुओं को तय करना है कि इन जिहादी सोच वाले अरविंद केजरीवाल की पार्टी के साथ क्या करना है.",0
मध्यप्रदेश: शराब बिक्री को लेकर शिवराज चौहान का वीडियो फ़र्जी दावों के साथ वायरलदारू इतनी फैला दो पूरे प्रदेश में की पिये और  पड़े रहे - शिवराज सिंह  जब प्रदेश का मुख्यमंत्री ऐसे आदेश दे तो आम जनता क्या करेगी।,0
हिन्दू-मुस्लिम जोड़ हाई कोर्ट मिल सभ केस रद्द-प्रेस रिव्य इलाहाबाद हाई कोर्ट जस्टिस पंकज नक़व विवेक अग्रवाल 18 दिसंबर युव के पत याचिक सुनव फ़ैसल सुन ,1
अरुण लाल: 66 की उम्र में शादी कर रहे पूर्व क्रिकेटर की होने वाली दुल्हन कौन हैंपूर्व क्रिकेटर और बंगाल क्रिकेट टीम के कोच अरुण लाल 66 साल की उम्र में अपने वैवाहिक जीवन की दूसरी पारी शुरू करने वाले हैं. ,1
मध्यप्रदेश: शराब बिक्री को लेकर शिवराज चौहान का वीडियो फ़र्जी दावों के साथ वायरलदारू इतनी फैला दो पूरे प्रदेश में की पिये और  पड़े रहे - शिवराज सिंह  जब प्रदेश का मुख्यमंत्री ऐसे आदेश दे तो आम जनता क्या करेगी।,0
जापान के प्रधानमंत्री का यह बयान क्या भारत के लिए चिंता बढ़ाने वाला है?रूस के यूक्रेन पर हमले के बाद से ही ये आशंका ज़ाहिर की जा रही है कि चीन भी ताइवान पर इसी तरह की कार्रवाई को अंजाम दे सकता है.,1
"इंडोनेशिया में समुन्द्र के नीचे स्थित मंदिर के वायरल तस्वीर का सच क्या है?""इंडोनेशिया में समुद्र के नीचे स्थित ये विष्णु भगवान का मंदिर क़रीब 5 हज़ार साल पुराना है.""",0
सोशल मीडिया पर वायरल ये तस्वीर दरअसल कहाँ से है ?आपके गली-मोहल्ले या आपके घर  पर अचानक से ये कट्टरपंथी जिहादियों की भीड़ आ जाए तो इससे  बचने का कुछ उपाय है आपके पास ?  इसका एक ही इलाज बुलडोजर,0
मोदी सरकार संसद भवन की नई इमारत को लेकर उतावली क्यों? नियमों की उपेक्षा के आरोपप्रस्तावित सेंट्रल विस्टा प्रोजेक्ट पर ज़्यादा जानकारी मिलने के साथ ही सवालों की फ़ेहरिस्त भी लंबी होती जा रही है. सुप्रीम कोर्ट ने संसद के निर्माण पर सरकार के रुख़ को 'आक्रामक' बताया है.,1
"मथुरा के एक मंदिर में नमाज़ पढ़ने पर एफ़आईआर दर्ज, क्या है पूरा मामला?नमाज़ पढ़ने वाले कहते हैं कि उन्होंने ऐसा सद्भावना बढ़ाने के लिए पुजारी की सहमति से किया जबकि कई लोग इसे धार्मिक भावना आहत करने का मामला मान रहे हैं",1
