Heading,News,Label
"बिहार पेपर लीक मामला: अगले तीन महीने में हो सकती है दोबारा परीक्षा, बीपीएससी ने बताया",बिहार लोकसेवा आयोग ने मंगलवार को बताया है कि अगले तीन महीने के अंदर बीपीएससी की परीक्षा दोबारा आयोजित कराई जा सकती है. ,1
जापान के प्रधानमंत्री का यह बयान क्या भारत के लिए चिंता बढ़ाने वाला है?,रूस के यूक्रेन पर हमले के बाद से ही ये आशंका ज़ाहिर की जा रही है कि चीन भी ताइवान पर इसी तरह की कार्रवाई को अंजाम दे सकता है.,1
रूस यूक्रेन में मातृभूमि की खातिर लड़ रहा है: पुतिन,रूस के राष्ट्रपति व्लादिमीर पुतिन ने विक्ट्री डे के मौके पर अपने भाषण में कहा है कि रूस यूक्रेन में मातृभूमि की खातिर लड़ रहा है.,1
राजस्थान: मंत्री के शादीशुदा बेटे पर मीडियाकर्मी ने लगाए रेप के आरोप,राजस्थान के जल संसाधन मंत्री महेश जोशी के बेटे रोहित जोशी के ख़िलाफ़ बलात्कार के आरोप में दिल्ली में ज़ीरो एफ़आईआर दर्ज की गई है.,1
भारत की नागरिकता न मिलने पर सैकड़ों पाकिस्तानी हिंदू वापस लौटे- प्रेस रिव्यू,भारत की नागरिकता पाने के मक़सद से राजस्थान में रह रहे करीब 800 पाकिस्तानी हिंदू साल 2021 में आसपास के देशों में लौट गए. ,1
झारखंड में IAS पूजा सिंघल को लेकर सियासी उबाल,कभी 21 साल की उम्र में सिविल सेवा परीक्षा पास करने वाली भारतीय प्रशासनिक सेवा (आइएएस) की अधिकारी पूजा सिंघल अपने 22 साल के करियर के सबसे मुश्किल दिनों से गुजर रही हैं. ,1
कश्मीर के कबाब दुकानदार की तस्वीर ने जीता अंतरराष्ट्रीय पुरस्कार, भारत में तंदूर पर कबाब बनाते एक दुकानदार की तस्वीर ने खाने से जुड़ी तस्वीरों की एक प्रतिष्ठित प्रतियोगिता में पहला पुरस्कार हासिल किया है. ,1
"रणबीर और आलिया की शादी में कौन-कौन हुए शरीक, तस्वीरों में देखें",रणबीर और आलिया की शादी आखिरकार हो ही गई है. आज का दिन सिर्फ़ रणबीर कपूर और अभिनेत्री आलिया भट्ट के लिए ही ख़ास नहीं है बल्कि इस दिन का इंतज़ार उनके लाखों चाहने वालों और पूरी इंडस्ट्री को भी था. ,1
यूक्रेन में जंग के बीच रूस का शक्ति प्रदर्शन,रूस में विक्ट्री डे के मौके पर माना जा रहा था कि राष्ट्रपति पुतिन कोई बड़ा एलान कर सकते हैं. ,1
श्रीलंका के प्रधानमंत्री महिंदा राजपक्षे ने दिया इस्तीफ़ा,श्रीलंका में सरकार के ख़िलाफ़ भारी प्रदर्शनों के बीच प्रधानमंत्री महिंदा राजपक्षे ने इस्तीफ़ा दे दिया है. ,1
