News,Label
यूक्रेन के ख़िलाफ़ रूस कैसे प्रोपेगैंडा की लड़ाई में बढ़त बना रहा हैमार्च के शुरुआती दिनों में उस दिन सेरही स्तारुश्को और उनके पत्रकार साथियों ने अपनी सुबह की संपादकीय बैठक खत्म ही की थी कि रूसी सेना के वाहन उनके दफ्तर के बाहर आ खड़े हुए.  ,0
पहले स्वदेशी एयरक्राफ्ट की व्यावसायिक उड़ान पर मोदी सरकार का दावा कितना सच?- फ़ैक्ट चेकपिछले सप्ताह भारत के नागरिक उड्डयन मंत्री ज्योतिरादित्य सिंधिया ने ट्वीट करके स्वदेशी डोर्नियर एयरक्राफ्ट की पहली व्यावसायिक उड़ान सेवा शुरू करने की जानकारी दी. ,0
यूक्रेन की जंग के बारे में क्या दिखा रहे हैं रूसी चैनल?एक मार्च यानी मंगलवार की रात (भारतीय समयानुसार) साढ़े दस बजे रूस के टेलीविज़न पर सरकारी मीडिया जो पेश कर रहा था वो वास्तविकता से परे कवरेज़ का एक बेहतरीन उदाहरण था. ,0
COVER STORY: कैसे सिख बनकर सिखों को बदनाम करने की हुई कोशिशतीनों कृषि क़ानून वापस लेने वाले बिल को मिली मंज़ूरी.लेकिन एक नई रिपोर्ट का दावा सोशल मीडिया पर सिखों के फ़ेक प्रोफ़ाइल बनाकर किसान आंदोलन में शामिल सिख प्रदर्शनकारियों को किया गया था टारगेट और चलाई गई अपमानजनक कैंपेन.,0
"फ़ेसबुक ने 'हेट स्पीच' और 'नफ़रत वाले कंटेंट' पर चेतावनी की अनदेखी की- प्रेस रिव्यूसाल 2018 से लेकर 2020 के बीच सोशल मीडिया प्लेटफॉर्म फ़ेसबुक के भारत में संचालन को लेकर तीन आंतरिक रिपोर्टें आईं जिनमें- 'ध्रुवीकरण वाली सामग्री', 'फ़ेक और अप्रामाणिक' मैसेज से लेकर अल्पसंख्यक समुदायों को 'बदनाम' करने वाले कंटेंट की लगातार बढ़ती संख्या की बात कही गई.",0
"5G इंसानों के लिए ख़तरा, क्या सच-क्या झूठ: दुनिया जहान2020 की शुरुआत में जब कोरोना महामारी अपने पैर फैला रही थी, दुनिया के कई हिस्सों से 5जी मोबाइल टावरों पर हमलों की ख़बरें आ रही थीं.",0
पाकिस्तान का दावा- न्यूज़ीलैंड टीम को भारत से भेजी गई थी 'आतंकी हमले की धमकी'पाकिस्तान के सूचना और प्रसारण मंत्री फ़वाद चौधरी ने आरोप लगाया है कि न्यूज़ीलैंड की क्रिकेट टीम को जिस डिवाइस से धमकी भेजी गई थी उसका ताल्लुक भारत से था.,0
दीक्षा शिंदे के नासा पैनलिस्ट बनने की रिपोर्ट का सच क्या है?- फ़ैक्ट चेकबीते सप्ताह 19 अगस्त को समाचार एजेंसी एएनआई ने सिलसिलेवार ट्वीट करके दावा किया कि महाराष्ट्र के औरंगाबाद की रहने वाली 14 साल की दीक्षा शिंदे अमेरिकी स्पेस एजेंसी नासा के एमएसआई फ़ेलोशिप के वर्चुअल पैनल के लिए बतौर पैनलिस्ट चुनी गई हैं.,0
"कश्मीर: अनुच्छेद 370 ख़त्म होने के बाद कश्मीरी पंडित परिवार के घर बनवाने के दावे का सच- फ़ैक्ट चेक5 अगस्त 2021 को जम्मू-कश्मीर से अनुच्छेद 370 हटाए जाने के दो साल पूरे हो गए हैं. बीते कुछ दिनों से लोग सोशल मीडिया पर इन दो सालों में क्या बदला है, इसे लेकर तरह-तरह के दावे कर रहे हैं.",0
10 बच्चों को जन्म देने का दावा झूठा निकलादक्षिण अफ़्रीका में अधिकारियों ने कहा है कि ख़ुसियामी सिटोले नाम की महिला का दस बच्चों को एक साथ जन्म देने का दावा झूठा है. गौतेंग प्रांत के अधिकारियों ने कहा है कि राज्य के किसी भी अस्पताल में दस बच्चों के साथ जन्म लेने का कोई रिकॉर्ड नहीं है. अधिकारियों ने यहाँ तक कहा है कि ख़ुसियामी सिटोले हाल-फ़िलहाल में गर्भवती भी नहीं थीं. अब इस महिला की मेंटल हेल्थ एक्ट के तहत देखभाल की जा रही है और उसे हर मुमकिन मदद मुहैया करवाई जाएगी.,0
पश्चिम बंगाल हिंसाः सोशल मीडिया पर वायरल वीडियो और तस्वीरों का सचपश्चिम बंगाल में चुनावी नतीजों के बाद राज्य के विभिन्न हिस्सों में फैली हिंसा में सोशल मीडिया पर किए जाने वाले दावों ने भी आग में घी डालने का काम किया है. ,0
कोरोना से बचाव में सोशल मीडिया पर आई नुस्खों की बाढ़कोरोना की दूसरी लहर ने भारत के हेल्थकेयर सिस्टम को पस्त कर दिया है. बड़ी तादाद में लोगों को तुरंत इलाज की ज़रूरत पड़ रही है. ,0
वो महिलाएं जो कोरोना और वैक्सीन से जुड़ी अफ़वाहों के ख़िलाफ़ लड़ रही हैंदक्षिण अफ़्रीका में कोरोना वैक्सीन के ख़िलाफ़ भ्रामक जानकारियों से लड़ने के लिए ऑनलाइन वॉलंटियर्स की एक टीम ने कमर कस ली है. इनमें से अधिकतर महिलाएं देश के बाहर ही रहती हैं.,0
मारवा सुलेहदोर: 'मुझे स्वेज़ नहर जाम करने का ज़िम्मेदार समझा गया'बीते महीने मारवा सुलेहदोर ने कुछ अजीब देखा. ,0
किसान आंदोलन को क्या ओबामा ने समर्थन दिया है?- रिएलिटी चेककृषि क़ानूनों के ख़िलाफ़ चल रहा किसानों का विरोध प्रदर्शन ख़त्म होता नहीं दिख रहा है. किसान संगठनों और सरकार के बीच अभी तक कोई सहमति नहीं बन पाई है. ,0
पाकिस्तान को 'बदनाम' करने वाली रिपोर्ट पर भारत का जवाबएक भारतीय नेटवर्क पर पाकिस्तान के ख़िलाफ़ अंतरराष्ट्रीय स्तर पर दुष्प्रचार अभियान चलाने के 'ईयू डिसइन्फ़ोलैब' के आरोपों को भारत ने पूरी तरह ख़ारिज किया है. ,0
भारत के लिए प्रोपेगैंडा करने के अंतरराष्ट्रीय नेटवर्क में भारत की एक न्यूज़ एजेंसी का नाम आयायूरोपीय यूनियन में फ़ेक न्यूज़ पर काम करने वाले एक संगठन 'ईयू डिसइन्फ़ोलैब' ने दावा किया है कि पिछले 15 सालों से अंतरराष्ट्रीय स्तर पर एक नेटवर्क काम कर रहा है जिसका मक़सद अंतरराष्ट्रीय स्तर पर पाकिस्तान को बदनाम करना और भारत के हितों को फ़ायदा पहुँचाना है.,0
उत्तर मोज़ाम्बिक: निर्वस्त्र महिला को वर्दी पहने हथियारबंद लोगों ने गोली मारीउत्तर मोज़ाम्बिक के लड़ाई प्रभावित इलाके में लोगों के साथ कई तरह की ज़्यादतियां हुईं. एक निर्वस्त्र महिला को वर्दी पहने हथियारबंद लोगों ने गोली मार दी. ,0
अमेरिकी चुनाव: ईवीएम मशीनों के बारे में ट्रंप का दावा कितना सही?डोनाल्ड ट्रंप ने अमेरिकी चुनावों में इस्तेमाल किए जाने वाले इलेक्ट्रॉनिक वोटिंग सिस्टम की आलोचना करते हुए कहा है कि इसकी वजह से उन्हें लाखों वोटों का नुक़सान हुआ. ,0
"बराक ओबामाः ग़लत सूचनाओं से अमेरिका बँट गया है, ट्रंप ने इसे हवा दीअमेरिका के पूर्व राष्ट्रपति और डेमोक्रेट नेता बराक ओबामा ने कहा है कि अमेरिका आज चार साल पहले से भी ज़्यादा बंट गया है जब डोनाल्ड ट्रंप चुनाव जीतकर राष्ट्रपति बने थे. ",0
कपिल देव ने अपने बारे में अफ़वाह के बाद पोस्ट किया वीडियोपूर्व क्रिकेटर और भारतीय कप्तान कपिल देव अपनी सेहत को लेकर कई दिनों से चर्चा में बने हुए हैं. लेकिन सोमवार को सोशल मीडिया पर उनकी सेहत को लेकर कुछ अफ़वाहें फैलनी शुरू हुईं तो कपिल देव ने ख़ुद अपना एक वीडियो जारी किया. ,0
फ़ैक्ट चेक: संस्कृत कंप्यूटर के लिए सबसे अनुकूल भाषा है?फ़ोन और इंटरनेट तक लोगों की बढ़ती पहुंच के कारण फ़ेक न्यूज़ का बाज़ार भी बहुत बढ़ गया है. इंटरनेट पर कई मनगढंत और अपुष्ट ख़बरें चलाई जाती हैं और लोग बिना जांचे-परखे इन पर भरोसा भी कर लेते हैं. ,0
कंप्यूटर के लिए सबसे उपयुक्त भाषा क्या संस्कृत है?फ़ोन और इंटरनेट तक लोगों की बढ़ती पहुंच के कारण फ़ेक न्यूज़ का बाज़ार भी बहुत बढ़ गया है. ,0
वुसत की डायरी: भारत और पाकिस्तान में मीडिया कैसा है?आज इंटरनेट और मोबाइल फ़ोन की वजह से दुनिया के किसी भी कोने में होने वाली घटना चंद मिनटों में हम तक पहुंच जाती है. पहले ऐसा नहीं था. ,0
"अमरीका चुनाव 2020: ट्रंप के दौर में कैसे बदली दुनिया?अमरीका का राष्ट्रपति सिर्फ अपने देश का नेता नहीं होता है, बल्कि शायद वह धरती का सबसे ताक़तवर शख़्स भी होता है. अमरीकी राष्ट्रपति के फ़ैसलों का असर दुनिया भर में महसूस किया जाता है. डोनाल्ड ट्रंप भी कोई अपवाद नहीं हैं. ऐसे में यह देखना अहम है कि ट्रंप ने किस तरह से दुनिया में बदलाव किए हैं. ",0
